Iterations,LSTM loss,GRU loss
2,12.1081688702,8.7560028993
3,12.2829089761,9.8236827254
4,12.482347846,9.5384353995
5,12.0610656738,10.26281178
6,13.0438300371,12.880025506
7,12.6213833094,11.9449234009
8,11.8072477579,11.2868427038
9,13.6126196384,12.0615683794
10,12.4391564131,13.4769232273
11,12.4983040094,12.6858935356
12,12.8823206425,12.1976544857
13,13.5701097846,13.2152780294
14,14.8663904667,11.4295192957
15,11.0780146122,13.9124518633
16,13.7896210551,12.3536775112
17,13.1847447157,13.9190155268
18,12.4914342165,11.4193463326
19,14.4278234839,12.1463754773
20,12.0273550749,13.7336774468
21,15.1035242677,12.6532302499
22,15.8713458776,13.5807745457
23,11.4574474096,11.4433960915
24,14.1445541978,15.9764666557
25,13.5318424702,12.3507981002
26,12.1522365808,13.5362392068
27,12.6571918726,13.6347372532
28,14.2428545058,12.3910011053
29,15.3086227775,14.8763894439
30,12.2941712737,13.0350646973
31,14.7762483358,14.8925154209
32,13.5865536928,16.2845330238
33,11.8704870939,7.650598526
34,12.8726627231,15.8785801604
35,13.3239157796,14.2682462335
36,11.7548797131,12.0078734756
37,13.3715123534,15.1030982733
38,13.6102214456,13.8396124244
39,12.7458626032,13.5881413221
40,12.7379351258,17.3326361179
41,14.0186039805,18.9804170728
42,14.5602834225,13.8192788661
43,11.2205973864,11.0585964918
44,11.842751503,11.3903560638
45,13.2260501385,13.1589502096
46,12.505314827,15.0971438885
47,13.6815744936,17.6193501949
48,13.0807973146,14.2286411524
49,13.5406174064,12.0978087187
50,11.3012778759,16.516423583
51,14.7567152381,16.414464891
52,14.890686959,19.2560934126
53,12.1620157957,12.7777115107
54,12.7746587992,16.3009104282
55,12.7209364176,14.814893961
56,12.9313883781,14.341661036
57,11.3208528757,14.6874678135
58,12.0029265881,11.6778837442
59,14.1502696872,15.2235671878
60,14.2831282616,16.3424972743
61,13.0826516151,16.891277194
62,14.2825368643,17.5095630288
63,14.2956777215,15.6777372956
64,14.2554883957,15.6750253439
65,13.04567343,14.6802657843
66,14.3489172161,16.5847074389
67,12.9488784075,16.9360971451
68,14.1143212914,15.6218121052
69,12.2608187199,14.8614150286
70,13.4930440187,13.5248229504
71,14.9526638985,17.0686271191
72,12.054931879,14.5277642012
73,13.5559113324,17.1901348978
74,12.3574728072,15.5932379961
75,13.9600858092,17.7025779486
76,12.4478931427,12.8703484535
77,14.0241351724,14.1487441063
78,13.1474837661,17.1517868638
79,14.1899542212,15.8969596624
80,12.6062705517,12.7131640911
81,12.679556042,11.9409208745
82,13.3843681812,15.1337271929
83,10.6689403057,10.7934206724
84,13.5872276127,16.8738262504
85,13.4715620279,11.0779035985
86,11.976295948,14.2769887447
87,13.1679204106,19.1503657699
88,11.9277639985,14.66424191
89,14.0186215639,15.2557650507
90,15.0880147815,20.2471655905
91,13.0055663586,16.9464677572
92,12.2199802399,10.7759228349
93,15.4875991642,15.8620141745
94,13.3475769758,16.6989940181
95,14.2507318258,12.9449443817
96,12.4185042381,18.8442757428
97,10.9711976051,10.768715024
98,13.3367769718,15.2674785256
99,13.4774671793,18.0998980999
100,12.2416768074,13.3302321434
